t_s,pasada,idac0,idac1,idac2,fase,posicion,asentamiento_incompleto,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
487.309,1,19,-192,66,abba,B2,False,4,LPo,732154.0,152.0,True,False,True,-5364.214132200001
493.037,1,19,-192,62,abba,A2,False,0,PGAgain,1001625.0,9746.0,True,True,False,2.4894625
494.282,1,19,-192,62,abba,A2,False,1,BPo,969905.0,14495.0,True,True,False,-629.2365415000006
494.933,1,19,-192,62,abba,A2,False,2,OPA_SUMo,1001529.0,1125.0,True,True,False,0.5775552999999276
495.585,1,19,-192,62,abba,A2,False,3,SUMo,1001205.0,1029.0,True,True,False,-5.875131499999185
496.237,1,19,-192,62,abba,A2,False,4,LPo,732192.0,190.0,True,False,True,-5363.4573356
559.156,1,19,-128,0,referencia,,False,0,PGAgain,1001644.0,3814.0,True,True,False,2.8678608000001087
559.805,1,19,-128,0,referencia,,False,1,BPo,974578.0,4482.0,True,True,False,-536.1704754000006
560.454,1,19,-128,0,referencia,,False,2,OPA_SUMo,966567.0,762.0,True,True,False,-695.7151480999999
561.105,1,19,-128,0,referencia,,False,3,SUMo,966377.0,667.0,True,True,False,-699.499131100001
561.753,1,19,-128,0,referencia,,False,4,LPo,732116.0,190.0,True,False,True,-5364.9709288
563.956,1,19,-128,-255,malla,,False,0,PGAgain,1000137.0,5760.0,True,True,False,-27.145099100001126
564.606,1,19,-128,-255,malla,,False,1,BPo,976104.0,5493.0,True,True,False,-505.7791171999992
565.258,1,19,-128,-255,malla,,False,2,OPA_SUMo,830726.0,2193.0,True,False,False,-3401.0837518000003
565.909,1,19,-128,-255,malla,,False,3,SUMo,831413.0,1773.0,True,False,False,-3387.4016659
566.558,1,19,-128,-255,malla,,False,4,LPo,846099.0,2975.0,True,False,False,-3094.9196956999995
568.761,1,19,-128,-128,malla,,False,0,PGAgain,1000747.0,4444.0,True,True,False,-14.996522100000853
569.413,1,19,-128,-128,malla,,False,1,BPo,975570.0,4711.0,True,True,False,-516.414100999999
570.066,1,19,-128,-128,malla,,False,2,OPA_SUMo,912322.0,2174.0,True,True,False,-1776.0422946
570.714,1,19,-128,-128,malla,,False,3,SUMo,912036.0,1831.0,True,True,False,-1781.7381848000011
571.367,1,19,-128,-128,malla,,False,4,LPo,732116.0,171.0,True,False,True,-5364.9709288
573.571,1,19,-128,-64,malla,,False,0,PGAgain,1000766.0,4577.0,True,True,False,-14.618123800000744
574.221,1,19,-128,-64,malla,,False,1,BPo,975437.0,6351.0,True,True,False,-519.0628890999998
574.87,1,19,-128,-64,malla,,False,2,OPA_SUMo,945949.0,1525.0,True,True,False,-1106.3370507000009
575.518,1,19,-128,-64,malla,,False,3,SUMo,945529.0,1201.0,True,True,False,-1114.7016447
576.17,1,19,-128,-64,malla,,False,4,LPo,732192.0,152.0,True,False,True,-5363.4573356
578.373,1,19,-128,0,malla,,False,0,PGAgain,1001091.0,3528.0,True,True,False,-8.145521299999837
579.025,1,19,-128,0,malla,,False,1,BPo,974597.0,5092.0,True,True,False,-535.7920771000005
579.678,1,19,-128,0,malla,,False,2,OPA_SUMo,965805.0,667.0,True,True,False,-710.890911500001
580.329,1,19,-128,0,malla,,False,3,SUMo,965538.0,667.0,True,True,False,-716.2084033999998
580.979,1,19,-128,0,malla,,False,4,LPo,732192.0,171.0,True,False,True,-5363.4573356
583.185,1,19,-128,64,malla,,False,0,PGAgain,1001396.0,4577.0,True,True,False,-2.0712328000008333
583.835,1,19,-128,64,malla,,False,1,BPo,975379.0,4329.0,True,True,False,-520.2179996999996
584.487,1,19,-128,64,malla,,False,2,OPA_SUMo,982246.0,705.0,True,True,False,-383.4568878000004
585.139,1,19,-128,64,malla,,False,3,SUMo,981998.0,934.0,True,True,False,-388.3959813999991
585.791,1,19,-128,64,malla,,False,4,LPo,732097.0,190.0,True,False,True,-5365.349327100001
587.995,1,19,-128,128,malla,,False,0,PGAgain,1002159.0,4005.0,True,True,False,13.124446299999837
588.647,1,19,-128,128,malla,,False,1,BPo,974979.0,4386.0,True,True,False,-528.1842796999993
