t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
410.42,vigilancia,4,0,0,0,0,4,LPo,1012954,1659,228.1,True,False
414.07,vigilancia,4,0,0,0,0,0,PGAgain,986366,133,-301.4,True,True
414.72,vigilancia,4,0,0,0,0,1,BPo,986461,400,-299.5,True,False
415.37,vigilancia,4,0,0,0,0,2,OPA_SUMo,986194,190,-304.8,True,True
416.03,vigilancia,4,0,0,0,0,3,SUMo,981121,858,-405.9,True,False
416.66,vigilancia,4,0,0,0,0,4,LPo,1013526,1869,239.5,True,False
420.30,vigilancia,4,0,0,0,0,0,PGAgain,986366,152,-301.4,True,True
420.95,vigilancia,4,0,0,0,0,1,BPo,986461,343,-299.5,True,False
424.56,vigilancia,4,0,0,0,0,2,OPA_SUMo,986137,152,-306.0,True,True
426.00,vigilancia,4,0,0,0,0,3,SUMo,981197,915,-404.3,True,False
426.65,vigilancia,4,0,0,0,0,4,LPo,1013545,2021,239.9,True,False
430.30,vigilancia,4,0,0,0,0,0,PGAgain,986347,152,-301.8,True,True
430.95,vigilancia,4,0,0,0,0,1,BPo,986461,438,-299.5,True,False
431.60,vigilancia,4,0,0,0,0,2,OPA_SUMo,986175,209,-305.2,True,True
432.25,vigilancia,4,0,0,0,0,3,SUMo,981235,896,-403.6,True,False
432.90,vigilancia,4,0,0,0,0,4,LPo,1013259,1544,234.2,True,False
436.55,vigilancia,4,0,0,0,0,0,PGAgain,986385,133,-301.0,True,True
437.20,vigilancia,4,0,0,0,0,1,BPo,986499,305,-298.8,True,False
437.86,vigilancia,4,0,0,0,0,2,OPA_SUMo,986194,267,-304.8,True,True
438.51,vigilancia,4,0,0,0,0,3,SUMo,981178,858,-404.7,True,False
439.15,vigilancia,4,0,0,0,0,4,LPo,1013622,2193,241.4,True,False
442.80,vigilancia,4,0,0,0,0,0,PGAgain,986385,152,-301.0,True,True
443.45,vigilancia,4,0,0,0,0,1,BPo,986480,324,-299.1,True,False
444.10,vigilancia,4,0,0,0,0,2,OPA_SUMo,986156,190,-305.6,True,True
446.23,vigilancia,4,0,0,0,0,3,SUMo,981102,906,-406.3,True,False
448.74,vigilancia,4,0,0,0,0,4,LPo,1014328,1754,255.5,True,False
452.39,vigilancia,4,0,0,0,0,0,PGAgain,986385,133,-301.0,True,True
453.04,vigilancia,4,0,0,0,0,1,BPo,986499,267,-298.8,True,True
453.69,vigilancia,4,0,0,0,0,2,OPA_SUMo,986156,228,-305.6,True,True
454.34,vigilancia,4,0,0,0,0,3,SUMo,980987,762,-408.5,True,False
454.98,vigilancia,4,0,0,0,0,4,LPo,1014404,1773,257.0,True,False
458.63,vigilancia,4,0,0,0,0,0,PGAgain,986385,114,-301.0,True,True
459.28,vigilancia,4,0,0,0,0,1,BPo,986499,419,-298.8,True,False
459.93,vigilancia,4,0,0,0,0,2,OPA_SUMo,986099,190,-306.7,True,True
460.58,vigilancia,4,0,0,0,0,3,SUMo,980873,858,-410.8,True,False
461.23,vigilancia,4,0,0,0,0,4,LPo,1014862,1697,266.1,True,False
464.87,vigilancia,4,0,0,0,0,0,PGAgain,986404,114,-300.6,True,True
465.52,vigilancia,4,0,0,0,0,1,BPo,986499,362,-298.8,True,False
466.17,vigilancia,4,0,0,0,0,2,OPA_SUMo,986118,209,-306.3,True,True
466.81,vigilancia,4,0,0,0,0,3,SUMo,980930,934,-409.7,True,False
467.46,vigilancia,4,0,0,0,0,4,LPo,1014728,2174,263.4,True,False
471.11,vigilancia,4,0,0,0,0,0,PGAgain,986385,133,-301.0,True,True
471.76,vigilancia,4,0,0,0,0,1,BPo,986480,362,-299.1,True,False
472.41,vigilancia,4,0,0,0,0,2,OPA_SUMo,986118,171,-306.3,True,True
473.05,vigilancia,4,0,0,0,0,3,SUMo,980892,782,-410.4,True,False
473.70,vigilancia,4,0,0,0,0,4,LPo,1015071,1811,270.3,True,False
477.35,vigilancia,4,0,0,0,0,0,PGAgain,986404,133,-300.6,True,True
478.00,vigilancia,4,0,0,0,0,1,BPo,986499,362,-298.8,True,False
478.64,vigilancia,4,0,0,0,0,2,OPA_SUMo,986118,228,-306.3,True,True
480.77,vigilancia,4,0,0,0,0,3,SUMo,980902,962,-410.2,True,False
483.32,vigilancia,4,0,0,0,0,4,LPo,1015186,1992,272.6,True,False
486.97,vigilancia,4,0,0,0,0,0,PGAgain,986404,133,-300.6,True,True
487.62,vigilancia,4,0,0,0,0,1,BPo,986499,362,-298.8,True,False
488.27,vigilancia,4,0,0,0,0,2,OPA_SUMo,986042,171,-307.9,True,True
488.91,vigilancia,4,0,0,0,0,3,SUMo,980854,934,-411.2,True,False
489.56,vigilancia,4,0,0,0,0,4,LPo,1015434,2040,277.5,True,False
