t_s,bloque,pgaout,idac0,idac1,idac2,idac3,ch,tap,media_banco_uv,pp_banco_uv,real_mv,valido,clavado
379.92,vigilancia,4,11,-30,-240,0,1,BPo,992488,7266,-179.5,True,False
380.57,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741863,171,-5170.9,False,True
381.22,vigilancia,4,11,-30,-240,0,3,SUMo,747756,209,-5053.5,False,True
381.87,vigilancia,4,11,-30,-240,0,4,LPo,1117172,133,2303.7,False,True
385.51,vigilancia,4,11,-30,-240,0,0,PGAgain,1021652,6217,401.3,True,False
386.16,vigilancia,4,11,-30,-240,0,1,BPo,992412,7457,-181.0,True,False
386.81,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741786,209,-5172.4,False,True
387.46,vigilancia,4,11,-30,-240,0,3,SUMo,747699,190,-5054.6,False,True
388.10,vigilancia,4,11,-30,-240,0,4,LPo,1117229,114,2304.8,False,True
391.75,vigilancia,4,11,-30,-240,0,0,PGAgain,1021289,5645,394.1,True,False
392.40,vigilancia,4,11,-30,-240,0,1,BPo,992374,9422,-181.8,True,False
393.04,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741786,171,-5172.4,False,True
393.69,vigilancia,4,11,-30,-240,0,3,SUMo,747699,152,-5054.6,False,True
394.34,vigilancia,4,11,-30,-240,0,4,LPo,1117191,114,2304.1,False,True
397.99,vigilancia,4,11,-30,-240,0,0,PGAgain,1021881,6580,405.9,True,False
398.64,vigilancia,4,11,-30,-240,0,1,BPo,992336,8430,-182.5,True,False
399.29,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741806,190,-5172.0,False,True
399.93,vigilancia,4,11,-30,-240,0,3,SUMo,747699,228,-5054.6,False,True
400.58,vigilancia,4,11,-30,-240,0,4,LPo,1117229,133,2304.8,False,True
404.23,vigilancia,4,11,-30,-240,0,0,PGAgain,1021823,7991,404.7,True,False
404.88,vigilancia,4,11,-30,-240,0,1,BPo,992355,9212,-182.1,True,False
405.53,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741844,190,-5171.2,False,True
406.17,vigilancia,4,11,-30,-240,0,3,SUMo,747680,171,-5055.0,False,True
406.82,vigilancia,4,11,-30,-240,0,4,LPo,1117191,114,2304.1,False,True
410.47,vigilancia,4,11,-30,-240,0,0,PGAgain,1021976,7228,407.8,True,False
411.12,vigilancia,4,11,-30,-240,0,1,BPo,992412,7553,-181.0,True,False
411.77,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741825,209,-5171.6,False,True
412.41,vigilancia,4,11,-30,-240,0,3,SUMo,747661,190,-5055.4,False,True
413.07,vigilancia,4,11,-30,-240,0,4,LPo,1117210,95,2304.4,False,True
416.71,vigilancia,4,11,-30,-240,0,0,PGAgain,1021785,6446,404.0,True,False
417.36,vigilancia,4,11,-30,-240,0,1,BPo,992946,6408,-170.4,True,False
418.02,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741767,171,-5172.8,False,True
418.66,vigilancia,4,11,-30,-240,0,3,SUMo,747623,171,-5056.1,False,True
419.29,vigilancia,4,11,-30,-240,0,4,LPo,1117191,133,2304.1,False,True
422.94,vigilancia,4,11,-30,-240,0,0,PGAgain,1021957,6656,407.4,True,False
423.59,vigilancia,4,11,-30,-240,0,1,BPo,992774,6523,-173.8,True,False
424.24,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741825,228,-5171.6,False,True
424.89,vigilancia,4,11,-30,-240,0,3,SUMo,747718,171,-5054.2,False,True
425.53,vigilancia,4,11,-30,-240,0,4,LPo,1117191,114,2304.1,False,True
429.18,vigilancia,4,11,-30,-240,0,0,PGAgain,1021671,6351,401.7,True,False
432.91,vigilancia,4,11,-30,-240,0,1,BPo,992546,9899,-178.3,True,False
434.19,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741806,152,-5172.0,False,True
434.83,vigilancia,4,11,-30,-240,0,3,SUMo,747680,152,-5055.0,False,True
435.48,vigilancia,4,11,-30,-240,0,4,LPo,1117210,114,2304.4,False,True
439.13,vigilancia,4,11,-30,-240,0,0,PGAgain,1021118,6523,390.7,True,False
439.78,vigilancia,4,11,-30,-240,0,1,BPo,992488,9040,-179.5,True,False
440.43,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741825,190,-5171.6,False,True
441.08,vigilancia,4,11,-30,-240,0,3,SUMo,747661,190,-5055.4,False,True
441.73,vigilancia,4,11,-30,-240,0,4,LPo,1117172,133,2303.7,False,True
445.38,vigilancia,4,11,-30,-240,0,0,PGAgain,1021728,7991,402.9,True,False
446.03,vigilancia,4,11,-30,-240,0,1,BPo,992507,9784,-179.1,True,False
446.67,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741786,171,-5172.4,False,True
447.32,vigilancia,4,11,-30,-240,0,3,SUMo,747718,152,-5054.2,False,True
447.95,vigilancia,4,11,-30,-240,0,4,LPo,1117210,114,2304.4,False,True
451.60,vigilancia,4,11,-30,-240,0,0,PGAgain,1021823,2670,404.7,True,False
452.24,vigilancia,4,11,-30,-240,0,1,BPo,992565,5321,-177.9,True,False
455.85,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741786,190,-5172.4,False,True
457.29,vigilancia,4,11,-30,-240,0,3,SUMo,747737,171,-5053.9,False,True
457.94,vigilancia,4,11,-30,-240,0,4,LPo,1117172,114,2303.7,False,True
461.58,vigilancia,4,11,-30,-240,0,0,PGAgain,1021842,3471,405.1,True,False
462.23,vigilancia,4,11,-30,-240,0,1,BPo,993137,4425,-166.6,True,False
462.88,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741786,171,-5172.4,False,True
463.53,vigilancia,4,11,-30,-240,0,3,SUMo,747642,209,-5055.8,False,True
464.18,vigilancia,4,11,-30,-240,0,4,LPo,1117191,133,2304.1,False,True
467.82,vigilancia,4,11,-30,-240,0,0,PGAgain,1021385,3204,396.0,True,False
468.47,vigilancia,4,11,-30,-240,0,1,BPo,992927,3948,-170.7,True,False
469.12,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741806,171,-5172.0,False,True
469.76,vigilancia,4,11,-30,-240,0,3,SUMo,747718,152,-5054.2,False,True
470.41,vigilancia,4,11,-30,-240,0,4,LPo,1117210,95,2304.4,False,True
474.06,vigilancia,4,11,-30,-240,0,0,PGAgain,1021804,3738,404.4,True,False
474.71,vigilancia,4,11,-30,-240,0,1,BPo,992698,4844,-175.3,True,False
475.35,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741825,133,-5171.6,False,True
477.48,vigilancia,4,11,-30,-240,0,3,SUMo,747680,171,-5055.0,False,True
480.01,vigilancia,4,11,-30,-240,0,4,LPo,1117182,114,2303.9,False,True
483.66,vigilancia,4,11,-30,-240,0,0,PGAgain,1021842,3757,405.1,True,False
484.31,vigilancia,4,11,-30,-240,0,1,BPo,993118,5989,-166.9,True,False
484.96,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741729,190,-5173.5,False,True
485.61,vigilancia,4,11,-30,-240,0,3,SUMo,747604,171,-5056.5,False,True
486.26,vigilancia,4,11,-30,-240,0,4,LPo,1117172,114,2303.7,False,True
489.91,vigilancia,4,11,-30,-240,0,0,PGAgain,1021804,3414,404.4,True,False
490.56,vigilancia,4,11,-30,-240,0,1,BPo,992794,3776,-173.4,True,False
491.21,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741729,171,-5173.5,False,True
491.86,vigilancia,4,11,-30,-240,0,3,SUMo,747642,171,-5055.8,False,True
492.51,vigilancia,4,11,-30,-240,0,4,LPo,1117172,95,2303.7,False,True
496.16,vigilancia,4,11,-30,-240,0,0,PGAgain,1021671,2651,401.7,True,False
496.80,vigilancia,4,11,-30,-240,0,1,BPo,992717,3395,-174.9,True,False
497.45,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741710,228,-5173.9,False,True
498.10,vigilancia,4,11,-30,-240,0,3,SUMo,747585,190,-5056.9,False,True
498.75,vigilancia,4,11,-30,-240,0,4,LPo,1117172,114,2303.7,False,True
502.40,vigilancia,4,11,-30,-240,0,0,PGAgain,1021137,3566,391.1,True,False
503.04,vigilancia,4,11,-30,-240,0,1,BPo,992584,3490,-177.6,True,False
503.69,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741729,171,-5173.5,False,True
504.34,vigilancia,4,11,-30,-240,0,3,SUMo,747604,171,-5056.5,False,True
504.99,vigilancia,4,11,-30,-240,0,4,LPo,1117153,95,2303.3,False,True
508.64,vigilancia,4,11,-30,-240,0,0,PGAgain,1021690,3089,402.1,True,False
509.28,vigilancia,4,11,-30,-240,0,1,BPo,992488,4062,-179.5,True,False
509.93,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741729,152,-5173.5,False,True
510.58,vigilancia,4,11,-30,-240,0,3,SUMo,747623,171,-5056.1,False,True
511.22,vigilancia,4,11,-30,-240,0,4,LPo,1117134,95,2302.9,False,True
514.87,vigilancia,4,11,-30,-240,0,0,PGAgain,1021003,2861,388.4,True,False
515.52,vigilancia,4,11,-30,-240,0,1,BPo,992717,4291,-174.9,True,False
516.17,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741653,171,-5175.0,False,True
516.82,vigilancia,4,11,-30,-240,0,3,SUMo,747547,171,-5057.7,False,True
517.47,vigilancia,4,11,-30,-240,0,4,LPo,1117153,76,2303.3,False,True
521.13,vigilancia,4,11,-30,-240,0,0,PGAgain,1020946,2498,387.3,True,False
521.78,vigilancia,4,11,-30,-240,0,1,BPo,992565,3223,-177.9,True,False
522.42,vigilancia,4,11,-30,-240,0,2,OPA_SUMo,741729,190,-5173.5,False,True
