t_s,pasada,idac0,idac1,idac2,fase,posicion,asentamiento_incompleto,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
442.28,1,24,-128,0,malla,,False,3,SUMo,1051386.0,254.0,True,True,True,993.5146101999994
442.64,1,24,-128,0,malla,,False,4,LPo,875000.0,289.0,True,False,True,-2519.3360500000003
444.5,1,24,-128,64,malla,,False,0,PGAgain,1002301.0,291.0,True,True,True,15.952475700000889
444.86,1,24,-128,64,malla,,False,1,BPo,991942.0,260.0,True,True,True,-190.35426059999986
445.22,1,24,-128,64,malla,,False,2,OPA_SUMo,1096774.0,307.0,True,True,False,1897.4484017999978
445.58,1,24,-128,64,malla,,False,3,SUMo,1098741.0,282.0,True,True,True,1936.6225836999997
445.94,1,24,-128,64,malla,,False,4,LPo,875000.0,290.0,True,False,True,-2519.3360500000003
447.8,1,24,-128,128,malla,,False,0,PGAgain,1002282.0,256.0,True,True,True,15.57407740000078
448.16,1,24,-128,128,malla,,False,1,BPo,991979.0,255.0,True,True,True,-189.6173796999992
448.52,1,24,-128,128,malla,,False,2,OPA_SUMo,1128000.0,277.0,True,False,True,2519.3360500000003
448.88,1,24,-128,128,malla,,False,3,SUMo,1128000.0,263.0,True,False,True,2519.3360500000003
449.24,1,24,-128,128,malla,,False,4,LPo,875000.0,251.0,True,False,True,-2519.3360500000003
451.1,1,24,-128,255,malla,,False,0,PGAgain,1002330.0,263.0,True,True,True,16.530031000000815
451.46,1,24,-128,255,malla,,False,1,BPo,991999.0,253.0,True,True,True,-189.21906569999953
451.82,1,24,-128,255,malla,,False,2,OPA_SUMo,1128000.0,265.0,True,False,True,2519.3360500000003
452.18,1,24,-128,255,malla,,False,3,SUMo,1128000.0,257.0,True,False,True,2519.3360500000003
452.54,1,24,-128,255,malla,,False,4,LPo,875000.0,251.0,True,False,True,-2519.3360500000003
454.4,1,24,-128,-72,abba,A1,False,0,PGAgain,1002282.0,290.0,True,True,True,15.57407740000078
454.76,1,24,-128,-72,abba,A1,False,1,BPo,991962.0,267.0,True,True,True,-189.95594660000023
