t_s,bloque,repeticion,pgaout,orden,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref,codigos_idac
132.0,CONTROL,20,1,4-3-2-1-0,3,SUMo,1011281.0,248.0,True,True,True,194.795461699999,"[12, 0, 0, 0]"
132.36,CONTROL,20,1,4-3-2-1-0,2,OPA_SUMo,1009294.0,263.0,True,True,True,155.22296579999966,"[12, 0, 0, 0]"
132.72,CONTROL,20,1,4-3-2-1-0,1,BPo,1003434.0,254.0,True,True,True,38.51696379999939,"[12, 0, 0, 0]"
133.08,CONTROL,20,1,4-3-2-1-0,0,PGAgain,1001492.0,252.0,True,True,True,-0.15932560000076076,"[12, 0, 0, 0]"
133.44,CONTROL,21,1,0-1-2-3-4,0,PGAgain,1001584.0,249.0,True,True,True,1.6729187999989314,"[12, 0, 0, 0]"
133.8,CONTROL,21,1,0-1-2-3-4,1,BPo,1003467.0,274.0,True,True,True,39.174181899999695,"[12, 0, 0, 0]"
134.16,CONTROL,21,1,0-1-2-3-4,2,OPA_SUMo,1009322.0,272.0,True,True,True,155.78060540000007,"[12, 0, 0, 0]"
134.52,CONTROL,21,1,0-1-2-3-4,3,SUMo,1011254.0,263.0,True,True,True,194.2577378000004,"[12, 0, 0, 0]"
134.88,CONTROL,21,1,0-1-2-3-4,4,LPo,875000.0,246.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
135.24,CONTROL,22,1,4-3-2-1-0,4,LPo,875006.0,269.0,True,False,True,-2519.2165558000006,"[12, 0, 0, 0]"
135.6,CONTROL,22,1,4-3-2-1-0,3,SUMo,1011188.0,266.0,True,True,True,192.94330159999978,"[12, 0, 0, 0]"
135.96,CONTROL,22,1,4-3-2-1-0,2,OPA_SUMo,1009173.0,271.0,True,True,True,152.81316610000005,"[12, 0, 0, 0]"
136.32,CONTROL,22,1,4-3-2-1-0,1,BPo,1003523.0,259.0,True,True,True,40.289461100000494,"[12, 0, 0, 0]"
136.68,CONTROL,22,1,4-3-2-1-0,0,PGAgain,1001572.0,263.0,True,True,True,1.4339304000000543,"[12, 0, 0, 0]"
137.04,CONTROL,23,1,0-1-2-3-4,0,PGAgain,1001554.0,260.0,True,True,True,1.0754477999994747,"[12, 0, 0, 0]"
137.4,CONTROL,23,1,0-1-2-3-4,1,BPo,1003540.0,253.0,True,True,True,40.628027999999276,"[12, 0, 0, 0]"
137.76,CONTROL,23,1,0-1-2-3-4,2,OPA_SUMo,1009202.0,242.0,True,True,True,153.39072139999996,"[12, 0, 0, 0]"
138.12,CONTROL,23,1,0-1-2-3-4,3,SUMo,1011232.0,273.0,True,True,True,193.81959239999944,"[12, 0, 0, 0]"
138.48,CONTROL,23,1,0-1-2-3-4,4,LPo,875000.0,262.0,True,False,True,-2519.3360500000003,"[12, 0, 0, 0]"
138.84,CONTROL,24,1,4-3-2-1-0,4,LPo,875059.0,256.0,True,False,True,-2518.161023700001,"[12, 0, 0, 0]"
139.2,CONTROL,24,1,4-3-2-1-0,3,SUMo,1011271.0,249.0,True,True,True,194.59630469999917,"[12, 0, 0, 0]"
139.56,CONTROL,24,1,4-3-2-1-0,2,OPA_SUMo,1009246.0,258.0,True,True,True,154.26701219999964,"[12, 0, 0, 0]"
139.92,CONTROL,24,1,4-3-2-1-0,1,BPo,1003488.0,258.0,True,True,True,39.59241160000113,"[12, 0, 0, 0]"
140.28,CONTROL,24,1,4-3-2-1-0,0,PGAgain,1001536.0,262.0,True,True,True,0.7169651999988952,"[12, 0, 0, 0]"
140.64,CONTROL,25,1,0-1-2-3-4,0,PGAgain,1001535.0,262.0,True,True,True,0.697049499999366,"[12, 0, 0, 0]"
141.0,CONTROL,25,1,0-1-2-3-4,1,BPo,1003539.0,253.0,True,True,True,40.608112299999746,"[12, 0, 0, 0]"
141.36,CONTROL,25,1,0-1-2-3-4,2,OPA_SUMo,1009205.0,253.0,True,True,True,153.45046850000082,"[12, 0, 0, 0]"
141.72,CONTROL,25,1,0-1-2-3-4,3,SUMo,1011245.0,261.0,True,True,True,194.0784965000001,"[12, 0, 0, 0]"
142.08,CONTROL,25,1,0-1-2-3-4,4,LPo,875026.0,259.0,True,False,True,-2518.818241800001,"[12, 0, 0, 0]"
142.44,CONTROL,26,1,4-3-2-1-0,4,LPo,875029.0,265.0,True,False,True,-2518.7584947,"[12, 0, 0, 0]"
142.8,CONTROL,26,1,4-3-2-1-0,3,SUMo,1011251.0,282.0,True,True,True,194.19799069999954,"[12, 0, 0, 0]"
