t_s,pasada,idac0,idac1,idac2,fase,ch,tap,media_banco_uv,pp_banco_uv,ok,valido,clavado,real_mv_vs_vref
475.7,1,12,-128,-64,malla,0,PGAgain,1001574.0,263.0,True,True,True,1.4737617999991126
476.06,1,12,-128,-64,malla,1,BPo,991988.0,284.0,True,True,True,-189.43813839999888
476.42,1,12,-128,-64,malla,2,OPA_SUMo,1007658.0,251.0,True,True,True,122.64088060000032
476.78,1,12,-128,-64,malla,3,SUMo,1009672.0,312.0,True,True,False,162.75110040000052
477.14,1,12,-128,-64,malla,4,LPo,875000.0,262.0,True,False,True,-2519.3360500000003
479.0,1,12,-128,0,malla,0,PGAgain,1001543.0,284.0,True,True,True,0.8563751000001268
479.36,1,12,-128,0,malla,1,BPo,991950.0,280.0,True,True,True,-190.1949349999991
479.72,1,12,-128,0,malla,2,OPA_SUMo,1055109.0,250.0,True,True,True,1067.6607612999985
480.08,1,12,-128,0,malla,3,SUMo,1057118.0,253.0,True,True,True,1107.6714025999988
480.44,1,12,-128,0,malla,4,LPo,875041.0,283.0,True,False,True,-2518.519506299999
482.3,1,12,-128,64,malla,0,PGAgain,1001497.0,259.0,True,True,True,-0.05974710000085132
482.66,1,12,-128,64,malla,1,BPo,992004.0,253.0,True,True,True,-189.11948719999964
483.02,1,12,-128,64,malla,2,OPA_SUMo,1102521.0,262.0,True,True,True,2011.9039296999993
483.38,1,12,-128,64,malla,3,SUMo,1104576.0,286.0,True,True,True,2052.8306932000005
483.74,1,12,-128,64,malla,4,LPo,875000.0,263.0,True,False,True,-2519.3360500000003
485.6,1,12,-128,128,malla,0,PGAgain,1001547.0,287.0,True,True,True,0.9360379000005072
485.96,1,12,-128,128,malla,1,BPo,991922.0,275.0,True,True,True,-190.7525745999995
486.32,1,12,-128,128,malla,2,OPA_SUMo,1128000.0,282.0,True,False,True,2519.3360500000003
486.68,1,12,-128,128,malla,3,SUMo,1128000.0,272.0,True,False,True,2519.3360500000003
487.04,1,12,-128,128,malla,4,LPo,875000.0,309.0,True,False,False,-2519.3360500000003
488.9,1,12,-128,255,malla,0,PGAgain,1001550.0,259.0,True,True,True,0.9957849999990944
489.26,1,12,-128,255,malla,1,BPo,991944.0,272.0,True,True,True,-190.3144292000008
489.62,1,12,-128,255,malla,2,OPA_SUMo,1128000.0,288.0,True,False,True,2519.3360500000003
489.98,1,12,-128,255,malla,3,SUMo,1128000.0,255.0,True,False,True,2519.3360500000003
490.34,1,12,-128,255,malla,4,LPo,875000.0,246.0,True,False,True,-2519.3360500000003
492.2,1,12,-128,-72,fino,0,PGAgain,1001568.0,244.0,True,True,True,1.354267599999674
492.56,1,12,-128,-72,fino,1,BPo,991961.0,281.0,True,True,True,-189.97586229999976
492.92,1,12,-128,-72,fino,2,OPA_SUMo,1001768.0,262.0,True,True,True,5.33740760000058
493.28,1,12,-128,-72,fino,3,SUMo,1003713.0,259.0,True,True,True,44.073444099999314
493.64,1,12,-128,-72,fino,4,LPo,875000.0,250.0,True,False,True,-2519.3360500000003
495.5,1,12,-128,-68,fino,0,PGAgain,1001607.0,259.0,True,True,True,2.1309798999994203
495.86,1,12,-128,-68,fino,1,BPo,992014.0,267.0,True,True,True,-188.92033019999982
496.22,1,12,-128,-68,fino,2,OPA_SUMo,1004777.0,243.0,True,True,True,65.26374890000088
496.58,1,12,-128,-68,fino,3,SUMo,1006737.0,275.0,True,True,True,104.29852089999933
496.94,1,12,-128,-68,fino,4,LPo,875055.0,259.0,True,False,True,-2518.240686500001
498.8,1,12,-128,-66,fino,0,PGAgain,1001540.0,273.0,True,True,True,0.7966279999992755
499.16,1,12,-128,-66,fino,1,BPo,991927.0,279.0,True,True,True,-190.6529960999996
499.52,1,12,-128,-66,fino,2,OPA_SUMo,1006238.0,255.0,True,True,True,94.36058660000113
499.88,1,12,-128,-66,fino,3,SUMo,1008193.0,276.0,True,True,True,133.2957800999997
500.24,1,12,-128,-66,fino,4,LPo,875005.0,269.0,True,False,True,-2519.2364715000003
502.1,1,12,-128,-64,fino,0,PGAgain,1001498.0,253.0,True,True,True,-0.03983139999905812
502.46,1,12,-128,-64,fino,1,BPo,992001.0,257.0,True,True,True,-189.17923430000047
502.82,1,12,-128,-64,fino,2,OPA_SUMo,1007714.0,281.0,True,True,True,123.75615980000111
503.18,1,12,-128,-64,fino,3,SUMo,1009725.0,289.0,True,True,True,163.80663250000046
503.54,1,12,-128,-64,fino,4,LPo,875000.0,257.0,True,False,True,-2519.3360500000003
505.4,1,12,-128,-62,fino,0,PGAgain,1001514.0,288.0,True,True,True,0.27881980000019924
505.76,1,12,-128,-62,fino,1,BPo,991996.0,246.0,True,True,True,-189.2788128000004
506.12,1,12,-128,-62,fino,2,OPA_SUMo,1009219.0,244.0,True,True,True,153.72928830000103
506.48,1,12,-128,-62,fino,3,SUMo,1011119.0,270.0,True,True,True,191.56911830000058
506.84,1,12,-128,-62,fino,4,LPo,875004.0,262.0,True,False,True,-2519.2563871999996
508.7,1,12,-128,-60,fino,0,PGAgain,1001550.0,249.0,True,True,True,0.9957849999990944
509.06,1,12,-128,-60,fino,1,BPo,991925.0,266.0,True,True,True,-190.6928275000009
509.42,1,12,-128,-60,fino,2,OPA_SUMo,1010717.0,258.0,True,True,True,183.5630068999997
509.78,1,12,-128,-60,fino,3,SUMo,1012639.0,277.0,True,True,True,221.8409823000002
510.14,1,12,-128,-60,fino,4,LPo,875000.0,251.0,True,False,True,-2519.3360500000003
512.0,1,12,-128,-56,fino,0,PGAgain,1001619.0,261.0,True,True,True,2.369968300000562
512.36,1,12,-128,-56,fino,1,BPo,991983.0,284.0,True,True,True,-189.53771690000107
512.72,1,12,-128,-56,fino,2,OPA_SUMo,1013715.0,262.0,True,True,True,243.27027550000065
513.08,1,12,-128,-56,fino,3,SUMo,1015714.0,272.0,True,True,True,283.0817598000011
513.44,1,12,-128,-56,fino,4,LPo,875013.0,254.0,True,False,True,-2519.0771458999993
603.8,1,12,-64,0,referencia,0,PGAgain,1001538.0,261.0,True,True,True,0.7567966000002174
604.16,1,12,-64,0,referencia,1,BPo,997721.0,253.0,True,True,True,-75.26143029999993
604.52,1,12,-64,0,referencia,2,OPA_SUMo,1032296.0,300.0,True,True,False,613.323897200001
604.88,1,12,-64,0,referencia,3,SUMo,1034287.0,256.0,True,True,True,652.9760559000007
605.24,1,12,-64,0,referencia,4,LPo,875000.0,256.0,True,False,True,-2519.3360500000003
607.1,1,12,-64,-255,malla,0,PGAgain,1001550.0,245.0,True,True,True,0.9957849999990944
607.46,1,12,-64,-255,malla,1,BPo,997769.0,277.0,True,True,True,-74.3054766999999
607.82,1,12,-64,-255,malla,2,OPA_SUMo,875000.0,280.0,True,False,True,-2519.3360500000003
608.18,1,12,-64,-255,malla,3,SUMo,875000.0,260.0,True,False,True,-2519.3360500000003
608.54,1,12,-64,-255,malla,4,LPo,875000.0,288.0,True,False,True,-2519.3360500000003
610.4,1,12,-64,-128,malla,0,PGAgain,1001592.0,267.0,True,True,True,1.8322443999996922
610.76,1,12,-64,-128,malla,1,BPo,997706.0,241.0,True,True,True,-75.56016579999967
611.12,1,12,-64,-128,malla,2,OPA_SUMo,937481.0,288.0,True,True,True,-1274.9831983000001
611.48,1,12,-64,-128,malla,3,SUMo,939367.0,264.0,True,True,True,-1237.4221881000008
611.84,1,12,-64,-128,malla,4,LPo,875012.0,279.0,True,False,True,-2519.0970616000013
613.7,1,12,-64,-64,malla,0,PGAgain,1001536.0,255.0,True,True,True,0.7169651999988952
614.06,1,12,-64,-64,malla,1,BPo,997643.0,279.0,True,True,True,-76.81485489999942
614.42,1,12,-64,-64,malla,2,OPA_SUMo,984884.0,245.0,True,True,True,-330.91927119999974
614.78,1,12,-64,-64,malla,3,SUMo,986830.0,270.0,True,True,True,-292.1633189999992
615.14,1,12,-64,-64,malla,4,LPo,875000.0,269.0,True,False,True,-2519.3360500000003
617.0,1,12,-64,0,malla,0,PGAgain,1001522.0,245.0,True,True,True,0.43814540000096003
617.36,1,12,-64,0,malla,1,BPo,997714.0,270.0,True,True,True,-75.4008401999989
617.72,1,12,-64,0,malla,2,OPA_SUMo,1032318.0,263.0,True,True,True,613.7620425999997
618.08,1,12,-64,0,malla,3,SUMo,1034318.0,252.0,True,True,True,653.5934425999997
618.44,1,12,-64,0,malla,4,LPo,875000.0,259.0,True,False,True,-2519.3360500000003
620.3,1,12,-64,64,malla,0,PGAgain,1001551.0,256.0,True,True,True,1.0157007000008875
620.66,1,12,-64,64,malla,1,BPo,997777.0,271.0,True,True,True,-74.14615109999913
621.02,1,12,-64,64,malla,2,OPA_SUMo,1079756.0,264.0,True,True,True,1558.5230192000017
621.38,1,12,-64,64,malla,3,SUMo,1081729.0,272.0,True,True,True,1597.816695300001
621.74,1,12,-64,64,malla,4,LPo,875000.0,256.0,True,False,True,-2519.3360500000003
623.6,1,12,-64,128,malla,0,PGAgain,1001540.0,275.0,True,True,True,0.7966279999992755
623.96,1,12,-64,128,malla,1,BPo,997735.0,252.0,True,True,True,-74.98261049999974
624.32,1,12,-64,128,malla,2,OPA_SUMo,1127200.0,245.0,True,False,True,2503.403490000001
624.68,1,12,-64,128,malla,3,SUMo,1128000.0,274.0,True,False,True,2519.3360500000003
625.04,1,12,-64,128,malla,4,LPo,875000.0,252.0,True,False,True,-2519.3360500000003
626.9,1,12,-64,255,malla,0,PGAgain,1001549.0,261.0,True,True,True,0.9758692999995653
627.26,1,12,-64,255,malla,1,BPo,997709.0,261.0,True,True,True,-75.50041870000108
627.62,1,12,-64,255,malla,2,OPA_SUMo,1128000.0,248.0,True,False,True,2519.3360500000003
627.98,1,12,-64,255,malla,3,SUMo,1128000.0,290.0,True,False,True,2519.3360500000003
