sector,phi_deg,theta_deg,gamma_deg,rho_paso_mm,x_perfil_mm,y_perfil_mm,radio_perfil_mm,mu_deg
subida,41.500,-14.2990,153.3053,87.6096,-58.9628,34.1448,68.1357,3.192
subida,42.000,-14.2578,152.8201,87.7627,-58.7965,34.7531,68.2994,3.285
subida,42.500,-14.2160,152.3351,87.9175,-58.6260,35.3615,68.4649,3.377
subida,43.000,-14.1738,151.8503,88.0743,-58.4513,35.9699,68.6322,3.469
subida,43.500,-14.1311,151.3656,88.2328,-58.2723,36.5783,68.8014,3.559
subida,44.000,-14.0879,150.8812,88.3931,-58.0891,37.1868,68.9725,3.648
subida,44.500,-14.0442,150.3970,88.5553,-57.9017,37.7953,69.1454,3.737
subida,45.000,-14.0000,149.9130,88.7193,-57.7099,38.4038,69.3201,3.824
subida,45.500,-13.9553,149.4292,88.8851,-57.5138,39.0122,69.4967,3.911
subida,46.000,-13.9101,148.9456,89.0528,-57.3135,39.6206,69.6752,3.997
subida,46.500,-13.8644,148.4621,89.2222,-57.1088,40.2289,69.8554,4.081
subida,47.000,-13.8183,147.9789,89.3935,-56.8997,40.8372,70.0375,4.165
subida,47.500,-13.7716,147.4959,89.5666,-56.6863,41.4454,70.2214,4.247
subida,48.000,-13.7244,147.0131,89.7415,-56.4684,42.0534,70.4072,4.329
subida,48.500,-13.6768,146.5305,89.9182,-56.2462,42.6613,70.5948,4.410
subida,49.000,-13.6286,146.0481,90.0968,-56.0195,43.2690,70.7842,4.489
subida,49.500,-13.5800,145.5660,90.2771,-55.7884,43.8766,70.9754,4.568
subida,50.000,-13.5309,145.0840,90.4593,-55.5529,44.4840,71.1684,4.646
subida,50.500,-13.4812,144.6022,90.6433,-55.3128,45.0911,71.3633,4.723
subida,51.000,-13.4311,144.1207,90.8291,-55.0683,45.6980,71.5600,4.798
subida,51.500,-13.3805,143.6393,91.0167,-54.8192,46.3047,71.7584,4.873
subida,52.000,-13.3294,143.1582,91.2061,-54.5657,46.9110,71.9587,4.947
subida,52.500,-13.2778,142.6772,91.3974,-54.3075,47.5171,72.1608,5.019
subida,53.000,-13.2257,142.1965,91.5905,-54.0448,48.1228,72.3647,5.091
subida,53.500,-13.1731,141.7160,91.7853,-53.7775,48.7282,72.5704,5.162
subida,54.000,-13.1200,141.2357,91.9820,-53.5056,49.3332,72.7779,5.232
subida,54.500,-13.0664,140.7556,92.1805,-53.2291,49.9379,72.9872,5.301
subida,55.000,-13.0123,140.2758,92.3808,-52.9479,50.5421,73.1982,5.368
subida,55.500,-12.9578,139.7961,92.5829,-52.6621,51.1458,73.4111,5.435
subida,56.000,-12.9027,139.3167,92.7868,-52.3716,51.7491,73.6258,5.501
subida,56.500,-12.8472,138.8375,92.9926,-52.0764,52.3519,73.8422,5.566
subida,57.000,-12.7911,138.3584,93.2001,-51.7765,52.9542,74.0604,5.630
subida,57.500,-12.7346,137.8797,93.4095,-51.4719,53.5559,74.2805,5.692
subida,58.000,-12.6775,137.4011,93.6206,-51.1625,54.1570,74.5022,5.754
subida,58.500,-12.6200,136.9227,93.8336,-50.8483,54.7576,74.7258,5.815
subida,59.000,-12.5620,136.4446,94.0483,-50.5294,55.3575,74.9512,5.875
subida,59.500,-12.5035,135.9667,94.2649,-50.2056,55.9568,75.1783,5.934
subida,60.000,-12.4444,135.4890,94.4833,-49.8771,56.5554,75.4072,5.992
subida,60.500,-12.3849,135.0115,94.7035,-49.5437,57.1533,75.6378,6.049
subida,61.000,-12.3249,134.5342,94.9254,-49.2054,57.7505,75.8703,6.105
subida,61.500,-12.2644,134.0572,95.1492,-48.8623,58.3469,76.1044,6.159
subida,62.000,-12.2035,133.5804,95.3748,-48.5143,58.9425,76.3404,6.213
subida,62.500,-12.1420,133.1038,95.6022,-48.1614,59.5373,76.5781,6.266
subida,63.000,-12.0800,132.6274,95.8314,-47.8036,60.1312,76.8176,6.318
subida,63.500,-12.0175,132.1513,96.0623,-47.4408,60.7242,77.0588,6.369
subida,64.000,-11.9546,131.6753,96.2951,-47.0731,61.3164,77.3018,6.419
subida,64.500,-11.8911,131.1997,96.5297,-46.7004,61.9076,77.5466,6.468
subida,65.000,-11.8272,130.7242,96.7661,-46.3227,62.4978,77.7930,6.516
subida,65.500,-11.7627,130.2489,97.0043,-45.9400,63.0869,78.0413,6.564
subida,66.000,-11.6978,129.7739,97.2442,-45.5522,63.6751,78.2913,6.610
subida,66.500,-11.6323,129.2991,97.4860,-45.1595,64.2622,78.5430,6.655
subida,67.000,-11.5664,128.8246,97.7296,-44.7617,64.8481,78.7965,6.699
subida,67.500,-11.5000,128.3502,97.9749,-44.3588,65.4330,79.0517,6.742
subida,68.000,-11.4331,127.8761,98.2221,-43.9508,66.0166,79.3087,6.784
subida,68.500,-11.3657,127.4023,98.4710,-43.5378,66.5990,79.5674,6.826
subida,69.000,-11.2978,126.9286,98.7217,-43.1196,67.1802,79.8278,6.866
subida,69.500,-11.2294,126.4552,98.9742,-42.6963,67.7601,80.0900,6.905
